,Type,Status,URLs,Hint,Description,Learn More
0,Issue,Failed,1140,Ensures <li> elements are used semantically,All list items (<li>) must be contained within  <ul> or <ol> parent elements.,https://dequeuniversity.com/rules/axe/3.0/listitem
1,Issue,Failed,1140,Ensure that lists are structured correctly,"Lists must be marked up correctly, meaning they must not contain content elements other than <li> elements.",https://dequeuniversity.com/rules/axe/3.0/list
2,Issue,Failed,1140,id attribute value must be unique,"The value assigned to the id="""" attribute must be unique to prevent the second instance from being overlooked by assistive technology. Put another way, id attributes may not be used more than once in the same document in order to differentiate each element from another.",https://dequeuniversity.com/rules/axe/3.0/duplicate-id
3,Issue,Failed,1137,Elements must have sufficient color contrast,All text elements must have sufficient contrast between text in the foreground and background colors behind it in accordance with WCAG 2 AA contrast ratio thresholds.,https://dequeuniversity.com/rules/axe/3.0/color-contrast
4,Issue,Failed,830,Certain ARIA roles must be contained by particular parents,Certain ARIA roles must be contained by particular parent roles in order to perform the intended accessibility functions.,https://dequeuniversity.com/rules/axe/3.0/aria-required-parent
5,Issue,Failed,161,Form elements must have labels,Each form element must have a programmatically associated label element.,https://dequeuniversity.com/rules/axe/3.0/label
6,Issue,Failed,64,Links must have discernible text,"Link text (and alternate text for images, when used as links) must be discernible by a screen reader, must not have a duplicate label, and must be focusable.",https://dequeuniversity.com/rules/axe/3.0/link-name
7,Issue,Failed,1,Ensure that each non-empty data cell in a large table has one or more table headers,"Data table markup can be tedious and confusing. It is important that it is done semantically and with the correct header structure. Screen readers have a number of features to make table navigation easier, but tables must be marked up accurately for these features to work properly.",https://dequeuniversity.com/rules/axe/3.0/td-has-header
8,Issue,Pass,0,<audio> elements must have a captions track,"For each HTML 5 <audio> element, the <track> element must be present, with kind=""captions"" set as a property. Captions are text—synchronized with the audio file—of the dialog, narration, and any important auditory information, for the benefit of deaf users.",https://dequeuniversity.com/rules/axe/3.0/audio-caption
9,Issue,Pass,0,Ensure <dl> elements are structured correctly,"Definition lists (<dl>) must contain only properly-ordered <dt> and <dd> groups, <script> or <template> elements.",https://dequeuniversity.com/rules/axe/3.0/definition-list
10,Issue,Pass,0,<dt> and <dd> elements must be contained by a <dl>,Definition list items (<dt> and/or <dd>) must be wrapped in parent <dl> elements to be valid. This enables screen reader users to understand the proper hierarchy of information in the list.,https://dequeuniversity.com/rules/axe/3.0/dlitem
11,Issue,Pass,0,<html> element must have a lang attribute,The HTML document must contain a valid lang attribute or must correspond to a valid lang code for multilingual screen reader users who may prefer a language other than the default.,https://dequeuniversity.com/rules/axe/3.0/html-has-lang
12,Issue,Pass,0,<html> element must have a valid value for the lang attribute,The HTML document must contain a valid lang attribute or must correspond to a valid lang code for multilingual screen reader users who may prefer a language other than the default.,https://dequeuniversity.com/rules/axe/3.0/html-lang-valid
13,Issue,Pass,0,Ensure <marquee> elements are not used,"<marquee> elements must not be present because they are deprecated, increase difficulty for users with limited dexterity, and are distracting for users with cognitive or attention deficits.",https://dequeuniversity.com/rules/axe/3.0/marquee
14,Issue,Pass,0,<object> elements must have alternate text,All embedded objects must have text alternatives to be read out to screen reader users.,https://dequeuniversity.com/rules/axe/3.0/object-alt
15,Issue,Pass,0,<video> elements must have captions,"An HTML5 <video> element must include a <track> element with kind=""captions"" set as a property. The captions should convey all meaningful auditory information in the video including dialogue, musical cues, sound effects, and other relevant information for deaf users.",https://dequeuniversity.com/rules/axe/3.0/video-caption
16,Issue,Pass,0,<video> elements must have an audio description track,The HTML 5 <video&gt element must have an audio description track to provide blind users with information the dialogue does not.,https://dequeuniversity.com/rules/axe/3.0/video-description
17,Issue,Pass,0,"aria-hidden=""true"" must not be present on the document body","When an aria-hidden attribute with a value of 'true' is present in the body of the document, the content won't be accessible to assistive technology.",https://dequeuniversity.com/rules/axe/3.0/aria-hidden-body
18,Issue,Pass,0,accesskey attribute value must be unique,"All accesskeys in the document must be unique. Put another way, accesskeys must not be repeated to prevent unexpected effects for keyboard users.",https://dequeuniversity.com/rules/axe/3.0/accesskeys
19,Issue,Pass,0,Table headers in a data table must refer to data cells,"Data table markup can be tedious and confusing. It is important that it is done semantically and with the correct header structure. Screen readers have a number of features to make table navigation easier, but tables must be marked up accurately for these features to work properly.",https://dequeuniversity.com/rules/axe/3.0/th-has-data-cells
20,Issue,Pass,0,Ensure that each table header in a data table refers to data cells,"Data table markup can be tedious and confusing. It is important that it is done semantically and with the correct header structure. Screen readers have a number of features to make table navigation easier, but tables must be marked up accurately for these features to work properly.",https://dequeuniversity.com/rules/axe/3.0/td-headers-attr
21,Issue,Pass,0,ARIA attributes must conform to valid names,ARIA attributes (i.e. starting with aria-) must have valid names. Referring to a misspelled attribute or to one that does not exist will result in an invalid attribute and thus failure of this Rule.,https://dequeuniversity.com/rules/axe/3.0/aria-valid-attr
22,Issue,Pass,0,ARIA attributes must conform to valid values,ARIA attributes (i.e. starting with aria-) must contain valid values. These values must be spelled correctly and correspond to values that make sense for a particular attribute in order to perform the intended accessibility function.,https://dequeuniversity.com/rules/axe/3.0/aria-valid-attr-value
23,Issue,Pass,0,ARIA roles used must conform to valid values,"Values assigned to ARIA roles (role="""") must be valid. This means values must be spelled correctly, must correspond to existing ARIA role values, and must not be abstract roles in order to correctly expose the purpose of the element.",https://dequeuniversity.com/rules/axe/3.0/aria-roles
24,Issue,Pass,0,Ensure buttons have discernible text,"Buttons must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users.",https://dequeuniversity.com/rules/axe/3.0/button-name
25,Issue,Pass,0,Certain ARIA roles must contain particular children,There are some ARIA parent roles that must contain specific child roles to perform their intended accessibility function.,https://dequeuniversity.com/rules/axe/3.0/aria-required-children
26,Issue,Pass,0,Data or header cells should not be used to give caption to a data table,"Data table markup can be tedious and confusing. Screen readers have a number of features to make table navigation easier, but tables must be marked up accurately for these features to work properly. Some tables use cells with a colspan to visually indicate a caption, instead of using an actual caption element.",https://dequeuniversity.com/rules/axe/3.0/table-fake-caption
27,Issue,Pass,0,Documents must have <title> element to aid in navigation,"The HTML document must have a <title> element to provide users with an overview of its content, and when present, it must not be empty",https://dequeuniversity.com/rules/axe/3.0/document-title
28,Issue,Pass,0,Elements must only use allowed ARIA attributes,Not all ARIA role-attribute combinations are valid. This Rule checks that each role is supplied with allowed attributes.,https://dequeuniversity.com/rules/axe/3.0/aria-allowed-attr
29,Issue,Pass,0,Elements should not have tabindex greater than zero,A tabindex attribute must never have a value greater than 0 to prevent an unexpected tab order that can give the appearance of skipping some elements entirely.,https://dequeuniversity.com/rules/axe/3.0/tabindex
30,Issue,Pass,0,Image buttons must have alternate text,"When an image is being used as an <input> button, it must have alternate text to allow screen reader users to know its purpose.",https://dequeuniversity.com/rules/axe/3.0/input-image-alt
31,Issue,Pass,0,Images must have alternate text,All images must have alternate text to convey their purpose and meaning to screen reader users.,https://dequeuniversity.com/rules/axe/3.0/image-alt
32,Issue,Pass,0,lang attribute must have a valid value,The language specified in the HTML document must be one of the valid languages to ensure text is pronounced correctly for screen reader users.,https://dequeuniversity.com/rules/axe/3.0/valid-lang
33,Issue,Pass,0,Layout tables must not use data table elements,"If a table is being used for layout purposes only, it must not use data table elements such as a header, caption, and summary to prevent confusion by screen reader users who would otherwise expect data to be contained within the cells.",https://dequeuniversity.com/rules/axe/3.0/layout-table
